Model,MAE,RMSE,MAPE,R2,MSE
random_forest,73.03556622119862,178.1689973270984,147.11794479889159,0.9074549468657753,31744.191608543595
sarima,259.51389507934965,585.7362909420686,987.8081118147579,-0.00021463044401581755,343087.0025265717
moving_average,317.48627063124053,592.1141546093452,1453.3803871837738,-0.022115145028139382,350599.17208873946
